Title: CVID Reg
Created: 07/15/2014 10:53:14
Number of Records: 47

ID,Svid,Prio,RCvid,MCastProf
N101-1-VB7-1-DFLT (UTICA_258_2),701,Priority 0,DFLT,
N101-1-VB7-2-DFLT (UTICA_258_2),702,Copy Bits,DFLT,
N101-1-VB7-3-DFLT (UTICA_258_2),703,Copy Bits,DFLT,
N101-1-VB7-4-DFLT (UTICA_258_2),704,Copy Bits,DFLT,
N101-1-VB7-5-DFLT (UTICA_258_2),705,Copy Bits,DFLT,
N101-1-VB7-6-DFLT (UTICA_258_2),706,Copy Bits,DFLT,
N101-1-VB7-7-DFLT (UTICA_258_2),707,Copy Bits,DFLT,
N101-1-VB7-8-DFLT (UTICA_258_2),708,Copy Bits,DFLT,
N101-1-VB7-9-DFLT (UTICA_258_2),709,Copy Bits,DFLT,
N101-1-VB7-10-DFLT (UTICA_258_2),710,Copy Bits,DFLT,
N101-1-VB7-11-DFLT (UTICA_258_2),711,Copy Bits,DFLT,
N101-1-VB7-12-DFLT (UTICA_258_2),712,Copy Bits,DFLT,
N101-1-VB7-13-DFLT (UTICA_258_2),713,Copy Bits,DFLT,
N101-1-VB7-14-DFLT (UTICA_258_2),714,Copy Bits,DFLT,
N101-1-VB7-15-DFLT (UTICA_258_2),715,Copy Bits,DFLT,
N101-1-VB7-16-DFLT (UTICA_258_2),716,Copy Bits,DFLT,
N101-1-VB7-17-DFLT (UTICA_258_2),717,Copy Bits,DFLT,
N101-1-VB7-18-DFLT (UTICA_258_2),718,Copy Bits,DFLT,
N101-1-VB7-19-DFLT (UTICA_258_2),719,Copy Bits,DFLT,
N101-1-VB7-20-DFLT (UTICA_258_2),720,Copy Bits,DFLT,
N101-1-VB7-21-DFLT (UTICA_258_2),721,Copy Bits,DFLT,
N101-1-VB7-22-DFLT (UTICA_258_2),722,Copy Bits,DFLT,
N101-1-VB7-23-DFLT (UTICA_258_2),723,Copy Bits,DFLT,
N101-1-VB7-24-DFLT (UTICA_258_2),724,Copy Bits,DFLT,
N101-1-VB7-25-DFLT (UTICA_258_2),725,Copy Bits,DFLT,
N101-1-VB7-26-DFLT (UTICA_258_2),726,Copy Bits,DFLT,
N101-1-VB7-27-DFLT (UTICA_258_2),727,Copy Bits,DFLT,
N101-1-VB7-28-DFLT (UTICA_258_2),728,Copy Bits,DFLT,
N101-1-VB7-29-DFLT (UTICA_258_2),729,Copy Bits,DFLT,
N101-1-VB7-30-DFLT (UTICA_258_2),730,Copy Bits,DFLT,
N101-1-VB7-31-DFLT (UTICA_258_2),731,Copy Bits,DFLT,
N101-1-VB7-32-DFLT (UTICA_258_2),732,Copy Bits,DFLT,
N101-1-VB7-33-DFLT (UTICA_258_2),733,Copy Bits,DFLT,
N101-1-VB7-34-DFLT (UTICA_258_2),734,Copy Bits,DFLT,
N101-1-VB7-35-DFLT (UTICA_258_2),735,Copy Bits,DFLT,
N101-1-VB7-36-DFLT (UTICA_258_2),736,Copy Bits,DFLT,
N101-1-VB7-37-DFLT (UTICA_258_2),737,Copy Bits,DFLT,
N101-1-VB7-38-DFLT (UTICA_258_2),738,Copy Bits,DFLT,
N101-1-VB7-39-DFLT (UTICA_258_2),739,Copy Bits,DFLT,
N101-1-VB7-40-DFLT (UTICA_258_2),740,Copy Bits,DFLT,
N101-1-VB7-41-DFLT (UTICA_258_2),741,Copy Bits,DFLT,
N101-1-VB7-42-DFLT (UTICA_258_2),742,Copy Bits,DFLT,
N101-1-VB7-43-DFLT (UTICA_258_2),743,Copy Bits,DFLT,
N101-1-VB7-44-DFLT (UTICA_258_2),744,Copy Bits,DFLT,
N101-1-VB7-45-DFLT (UTICA_258_2),745,Copy Bits,DFLT,
N101-1-VB7-46-DFLT (UTICA_258_2),746,Copy Bits,DFLT,
N101-1-VB7-47-DFLT (UTICA_258_2),747,Copy Bits,DFLT,
