Title: S-VLAN
Created: 07/15/2014 12:12:02
Number of Records: 223

Bridge,VLAN,Desc,AppMode,L2RlyMode,Option82,NumPrio,IgmpMode,StbRlyArp
N101-1-VB7 (UTICA_258_2),600,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),601,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),602,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),603,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),604,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),605,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),606,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),607,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),608,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),609,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),610,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),611,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),612,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),613,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),614,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),615,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),616,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),617,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),618,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),619,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),620,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),621,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),622,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),623,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),624,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),625,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),626,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),627,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),628,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),629,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),630,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),631,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),632,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),633,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),634,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),635,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),636,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),637,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),638,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),639,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),640,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),641,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),642,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),643,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),644,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),645,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),646,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),647,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),648,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),649,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),650,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),651,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),652,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),653,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),654,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),655,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),656,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),657,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),658,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),659,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),660,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),661,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),662,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),663,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),664,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),665,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),666,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),667,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),668,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),669,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),670,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),671,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),672,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),673,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),674,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),675,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),676,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),677,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),678,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),679,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),680,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),681,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),682,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),683,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),684,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),685,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),686,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),687,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),688,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),689,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),690,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),691,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),692,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),693,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),694,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),695,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),696,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),697,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),698,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),699,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),701,Test ONT,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),702,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),703,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),704,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),705,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),706,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),707,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),708,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),709,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),710,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),711,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),712,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),713,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),714,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),715,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),716,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),717,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),718,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),719,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),720,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),721,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),722,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),723,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),724,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),725,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),726,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),727,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),728,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),729,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),730,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),731,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),732,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),733,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),734,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),735,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),736,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),737,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),738,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),739,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),740,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),741,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),742,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),743,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),744,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),745,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),746,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),747,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),748,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),749,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),750,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),751,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),752,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),753,,VLAN Per Service,NONE,NONE,1,None,N
